epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,2183.48,0.84457,0.47201,0.95932,0.98083,0.95221,0.98755,0.79698,0.81145,0.39387,0.92286,0.0005015,0.0005015,0.0005015
77,2211.52,0.8439,0.46998,0.96733,0.96465,0.96054,0.98792,0.79665,0.81914,0.4019,0.92357,0.00048152,0.00048152,0.00048152
78,2239.42,0.82736,0.46269,0.95296,0.97113,0.95528,0.98735,0.80378,0.79187,0.39941,0.91485,0.00046154,0.00046154,0.00046154
79,2267.79,0.84056,0.47059,0.96155,0.97444,0.96098,0.98915,0.79363,0.835,0.39829,0.92686,0.00044156,0.00044156,0.00044156
80,2295.75,0.81382,0.45386,0.94429,0.97596,0.96127,0.99026,0.8006,0.80976,0.39111,0.92103,0.00042158,0.00042158,0.00042158
81,2323.86,0.82335,0.45798,0.95162,0.97055,0.95923,0.98803,0.79833,0.80424,0.39215,0.91759,0.0004016,0.0004016,0.0004016
82,2352.06,0.81377,0.45759,0.94795,0.9776,0.95835,0.98864,0.80932,0.77264,0.38923,0.91285,0.00038162,0.00038162,0.00038162
83,2380.03,0.78812,0.44427,0.94418,0.97324,0.95667,0.9893,0.80793,0.79885,0.39346,0.92076,0.00036164,0.00036164,0.00036164
84,2407.98,0.80205,0.44927,0.94374,0.98198,0.95567,0.98889,0.81452,0.78266,0.38372,0.91196,0.00034166,0.00034166,0.00034166
85,2434.37,0.80538,0.45193,0.9467,0.97856,0.96046,0.98755,0.80965,0.7778,0.38336,0.91251,0.00032168,0.00032168,0.00032168
86,2461.03,0.79374,0.45044,0.94943,0.97802,0.95598,0.98956,0.80615,0.7812,0.38233,0.91021,0.0003017,0.0003017,0.0003017
